# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2020-05-31 10:54:26 EDT       (vaww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 03447687 FRENCH BROAD RIVER NEAR FLETCHER, NC
# -----------------------------------------------------------------------------------
#
# Data provided for site 03447687
#            TS   parameter     statistic     Description
#        247074       00010     00003     Temperature, water, degrees Celsius (Mean)
#        247075       00010     00002     Temperature, water, degrees Celsius (Minimum)
#        247076       00010     00001     Temperature, water, degrees Celsius (Maximum)
#        247087       00400     00002     pH, water, unfiltered, field, standard units (Minimum)
#        247088       00400     00001     pH, water, unfiltered, field, standard units (Maximum)
#        247089       00400     00008     pH, water, unfiltered, field, standard units (Median)
#        247112       00300     00002     Dissolved oxygen, water, unfiltered, milligrams per liter (Minimum)
#        247113       00300     00003     Dissolved oxygen, water, unfiltered, milligrams per liter (Mean)
#        247115       00300     00001     Dissolved oxygen, water, unfiltered, milligrams per liter (Maximum)
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
#     4  Statistic computed from less than expected number of instantaneous values for the period
# 
agency_cd	site_no	datetime	247074_00010_00003	247074_00010_00003_cd	247075_00010_00002	247075_00010_00002_cd	247076_00010_00001	247076_00010_00001_cd	247087_00400_00002	247087_00400_00002_cd	247088_00400_00001	247088_00400_00001_cd	247089_00400_00008	247089_00400_00008_cd	247112_00300_00002	247112_00300_00002_cd	247113_00300_00003	247113_00300_00003_cd	247115_00300_00001	247115_00300_00001_cd
USGS	03447687	2019-07-22	23.1	A	22.4	A	23.8	A	6.7	A	6.9	A	6.8	A	7.0	A	7.2	A	7.6	A
USGS	03447687	2019-07-23	21.8	A	20.8	A	22.9	A	6.7	A	6.8	A	6.8	A	7.1	A	7.2	A	7.3	A
USGS	03447687	2019-07-24	20.6	A	19.8	A	21.5	A	6.7	A	6.8	A	6.8	A	7.3	A	7.6	A	7.7	A
USGS	03447687	2019-07-25	20.3	A	19.3	A	21.5	A	6.7	A	6.9	A	6.8	A	7.6	A	7.8	A	8.1	A
USGS	03447687	2019-07-26	20.1	A	19.0	A	21.2	A	6.8	A	7.0	A	6.8	A	7.7	A	8.0	A	8.4	A
USGS	03447687	2019-07-27	20.3	A	19.2	A	21.3	A	6.8	A	7.0	A	6.8	A	7.7	A	8.0	A	8.4	A
USGS	03447687	2019-07-28	20.7	A	19.5	A	22.0	A	6.8	A	7.0	A	6.8	A	7.6	A	7.9	A	8.5	A
USGS	03447687	2019-07-29	21.3	A	20.2	A	22.5	A	6.8	A	7.0	A	6.9	A	7.5	A	7.8	A	8.4	A
USGS	03447687	2019-07-30	21.7	A	20.5	A	22.8	A	6.8	A	7.2	A	6.9	A	7.4	A	7.8	A	8.6	A
USGS	03447687	2019-07-31	21.7	A	20.8	A	22.7	A	6.8	A	7.1	A	6.9	A	7.4	A	7.7	A	8.5	A
USGS	03447687	2019-08-01	21.2	A	20.7	A	21.8	A	6.7	A	6.9	A	6.8	A	7.2	A	7.5	A	7.9	A
USGS	03447687	2019-08-02	20.7	A	20.3	A	21.2	A	6.7	A	6.9	A	6.8	A	7.2	A	7.6	A	8.0	A
USGS	03447687	2019-08-03	20.8	A	19.9	A	22.0	A	6.7	A	6.9	A	6.8	A	7.3	A	7.7	A	8.1	A
USGS	03447687	2019-08-04	21.2	A	20.6	A	21.8	A	6.7	A	6.9	A	6.8	A	7.2	A	7.4	A	7.8	A
USGS	03447687	2019-08-05	21.2	A	20.6	A	22.2	A	6.5	A	6.8	A	6.7	A	7.0	A	7.3	A	7.4	A
USGS	03447687	2019-08-06	21.4	A	20.7	A	22.3	A	6.7	A	6.8	A	6.8	A	7.2	A	7.4	A	7.6	A
USGS	03447687	2019-08-07	21.9	A	20.9	A	23.2	A	6.7	A	6.9	A	6.8	A	7.2	A	7.3	A	7.6	A
USGS	03447687	2019-08-08	22.2	A	21.1	A	23.3	A	6.8	A	7.0	A	6.9	A	7.2	A	7.4	A	7.9	A
USGS	03447687	2019-08-09	22.5	A	21.2	A	23.9	A	6.8	A	7.0	A	6.9	A	7.1	A	7.4	A	8.0	A
USGS	03447687	2019-08-10	22.5	A	21.8	A	23.2	A	6.8	A	7.0	A	6.9	A	7.1	A	7.3	A	7.8	A
USGS	03447687	2019-08-11	22.7	A	21.7	A	23.9	A	6.8	A	7.0	A	6.9	A	7.0	A	7.3	A	7.9	A
USGS	03447687	2019-08-12	23.0	A	22.3	A	23.8	A	6.8	A	7.0	A	6.9	A	7.0	A	7.3	A	7.9	A
USGS	03447687	2019-08-13	23.2	A	22.2	A	24.4	A	6.8	A	6.9	A	6.8	A	6.8	A	7.0	A	7.4	A
USGS	03447687	2019-08-14	23.3	A	22.7	A	24.0	A	6.8	A	6.9	A	6.8	A	6.8	A	7.1	A	7.5	A
USGS	03447687	2019-08-15	23.0	A	22.2	A	24.0	A	6.7	A	6.9	A	6.8	A	6.8	A	7.1	A	7.4	A
USGS	03447687	2019-08-16	23.1	A	21.9	A	24.5	A	6.7	A	7.0	A	6.8	A	6.9	A	7.2	A	7.8	A
USGS	03447687	2019-08-17	23.0	A	22.0	A	24.0	A	6.8	A	7.0	A	6.8	A	6.9	A	7.2	A	7.8	A
USGS	03447687	2019-08-18	22.8	A	21.7	A	24.1	A	6.8	A	7.0	A	6.8	A	7.0	A	7.3	A	7.8	A
USGS	03447687	2019-08-19	22.6	A	22.1	A	23.2	A	6.8	A	7.0	A	6.8	A	7.0	A	7.2	A	7.7	A
USGS	03447687	2019-08-20	22.0	A	21.3	A	22.7	A	6.7	A	6.8	A	6.8	A	7.1	A	7.2	A	7.4	A
USGS	03447687	2019-08-21	22.1	A	21.3	A	23.3	A	6.8	A	7.0	A	6.9	A	7.0	A	7.4	A	7.9	A
USGS	03447687	2019-08-22	22.2	A	21.5	A	22.8	A	6.7	A	6.9	A	6.8	A	6.8	A	7.1	A	7.4	A
USGS	03447687	2019-08-23	21.5	A	20.9	A	22.1	A	6.5	A	6.8	A	6.7	A	6.7	A	7.0	A	7.1	A
USGS	03447687	2019-08-24	21.3	A	20.7	A	21.6	A	6.4	A	6.6	A	6.5	A	6.6	A	6.8	A	7.1	A
USGS	03447687	2019-08-25	20.0	A	19.4	A	20.7	A	6.6	A	6.8	A	6.7	A	7.1	A	7.5	A	7.7	A
USGS	03447687	2019-08-26	19.3	A	19.0	A	19.8	A	6.8	A	6.9	A	6.8	A	7.6	A	7.8	A	8.0	A
USGS	03447687	2019-08-27	19.1	A	18.9	A	19.3	A	6.8	A	6.9	A	6.8	A	7.7	A	7.8	A	7.9	A
USGS	03447687	2019-08-28	19.8	A	18.8	A	21.2	A	6.8	A	6.9	A	6.8	A	7.6	A	7.8	A	8.0	A
USGS	03447687	2019-08-29	20.3	A	19.2	A	21.6	A	6.8	A	7.0	A	6.9	A	7.5	A	7.7	A	8.1	A
USGS	03447687	2019-08-30	20.2	A	18.9	A	21.6	A	6.8	A	7.0	A	6.9	A	7.5	A	7.8	A	8.3	A
USGS	03447687	2019-08-31	20.4	A	19.2	A	21.8	A	6.8	A	7.0	A	6.9	A	7.5	A	7.8	A	8.4	A
USGS	03447687	2019-09-01	20.6	A	19.5	A	21.8	A	6.8	A	7.0	A	6.9	A	7.4	A	7.8	A	8.4	A
USGS	03447687	2019-09-02	21.0	A	19.7	A	22.4	A	6.8	A	7.1	A	6.9	A	7.3	A	7.7	A	8.5	A
USGS	03447687	2019-09-03	21.4	A	20.2	A	22.9	A	6.8	A	7.1	A	6.9	A	7.3	A	7.7	A	8.6	A
USGS	03447687	2019-09-04	22.0	A	20.8	A	23.5	A	6.8	A	7.2	A	6.9	A	7.1	A	7.7	A	8.6	A
USGS	03447687	2019-09-05	22.3	A	21.5	A	23.4	A	6.8	A	7.2	A	6.9	A	7.0	A	7.5	A	8.6	A
USGS	03447687	2019-09-06	22.3	A	21.2	A	23.5	A	6.8	A	7.3	A	6.9	A	7.0	A	7.5	A	8.7	A
USGS	03447687	2019-09-07	22.0	A	20.9	A	23.3	A	6.8	A	7.3	A	6.9	A	7.0	A	7.6	A	8.7	A
USGS	03447687	2019-09-08	21.7	A	20.5	A	23.0	A	6.8	A	7.3	A	6.9	A	7.0	A	7.7	A	9.0	A
USGS	03447687	2019-09-09	21.9	A	20.7	A	23.3	A	6.8	A	7.4	A	6.9	A	7.1	A	7.7	A	9.0	A
USGS	03447687	2019-09-10	22.2	A	21.0	A	23.4	A	6.8	A	7.3	A	6.9	A	7.0	A	7.7	A	8.9	A
USGS	03447687	2019-09-11	22.6	A	21.4	A	23.9	A	6.8	A	7.4	A	6.9	A	7.0	A	7.6	A	9.0	A
USGS	03447687	2019-09-12	22.8	A	21.7	A	24.0	A	6.8	A	7.4	A	6.9	A	6.9	A	7.5	A	9.0	A
USGS	03447687	2019-09-13	22.9	A	22.0	A	23.8	A	6.8	A	7.3	A	6.9	A	6.8	A	7.4	A	8.6	A
USGS	03447687	2019-09-14	22.6	A	21.7	A	23.4	A	6.7	A	6.9	A	6.8	A	6.5	A	6.9	A	7.4	A
USGS	03447687	2019-09-15	21.9	A	21.3	A	22.9	A	6.7	A	6.8	A	6.7	A	6.5	A	6.9	A	7.1	A
USGS	03447687	2019-09-16	21.7	A	20.6	A	23.1	A	6.6	A	6.9	A	6.8	A	6.9	A	7.1	A	7.4	A
USGS	03447687	2019-09-17	21.9	A	20.8	A	23.2	A	6.8	A	7.0	A	6.9	A	6.9	A	7.3	A	8.0	A
USGS	03447687	2019-09-18	21.4	A	20.8	A	22.1	A	6.8	A	7.0	A	7.0	A	6.9	A	7.2	A	7.7	A
USGS	03447687	2019-09-19	20.0	A	19.3	A	20.8	A	6.9	A	7.1	A	7.0	A	7.3	A	7.7	A	8.2	A
USGS	03447687	2019-09-20	19.3	A	18.3	A	20.6	A	6.9	A	7.2	A	7.0	A	7.6	A	8.1	A	8.8	A
USGS	03447687	2019-09-21	19.5	A	18.4	A	20.8	A	6.9	A	7.2	A	6.9	A	7.6	A	8.0	A	8.8	A
USGS	03447687	2019-09-22	20.0	A	18.8	A	21.3	A	6.9	A	7.2	A	6.9	A	7.5	A	8.0	A	8.9	A
USGS	03447687	2019-09-23	20.0	A	18.7	A	21.3	A	6.9	A	7.3	A	6.9	A	7.4	A	8.0	A	9.0	A
USGS	03447687	2019-09-24	20.5	A	19.6	A	21.6	A	6.9	A	7.3	A	6.9	A	7.3	A	7.8	A	8.9	A
USGS	03447687	2019-09-25	20.3	A	19.1	A	21.6	A	6.8	A	7.4	A	6.9	A	7.3	A	7.9	A	9.1	A
USGS	03447687	2019-09-26	20.4	A	19.4	A	21.6	A	6.9	A	7.2	A	6.9	A	7.3	A	7.8	A	8.9	A
USGS	03447687	2019-09-27	21.1	A	20.1	A	22.3	A	6.8	A	7.3	A	6.9	A	7.2	A	7.7	A	8.9	A
USGS	03447687	2019-09-28	21.3	A	20.8	A	21.9	A	6.8	A	7.1	A	6.9	A	6.7	A	7.3	A	8.2	A
USGS	03447687	2019-09-29	21.2	A	20.3	A	22.4	A	6.7	A	6.8	A	6.8	A	6.7	A	7.0	A	7.2	A
USGS	03447687	2019-09-30	21.5	A	20.7	A	22.3	A	6.8	A	7.0	A	6.8	A	6.5	A	7.2	A	7.9	A
USGS	03447687	2019-10-01	21.8	A	21.0	A	22.8	A	6.7	A	6.9	A	6.8	A	6.4	A	6.8	A	7.4	A
USGS	03447687	2019-10-02	22.3	A	21.4	A	23.6	A	6.8	A	7.0	A	6.9	A	6.8	A	7.1	A	7.8	A
USGS	03447687	2019-10-03	22.3	A	21.2	A	23.6	A	6.8	A	7.1	A	6.9	A	6.8	A	7.2	A	8.0	A
USGS	03447687	2019-10-04	22.0	A	20.9	A	23.2	A	6.8	A	7.1	A	6.9	A	6.8	A	7.3	A	8.2	A
USGS	03447687	2019-10-05	20.6	A	19.3	A	21.9	A	6.8	A	6.9	A	6.9	A	6.8	A	7.1	A	7.4	A
USGS	03447687	2019-10-06	18.6	A	18.4	A	19.3	A	6.8	A	7.0	A	6.9	A	7.3	A	7.7	A	8.1	A
USGS	03447687	2019-10-07	18.5	A	18.1	A	19.0	A	6.9	A	7.0	A	6.9	A	7.6	A	7.9	A	8.4	A
USGS	03447687	2019-10-08	18.4	A	18.1	A	18.6	A	6.8	A	6.9	A	6.9	A	7.6	A	7.8	A	8.0	A
USGS	03447687	2019-10-09	18.1	A	17.6	A	18.8	A	6.8	A	7.0	A	6.9	A	7.6	A	7.9	A	8.3	A
USGS	03447687	2019-10-10	18.1	A	17.3	A	19.2	A	6.8	A	7.0	A	6.9	A	7.8	A	8.1	A	8.7	A
USGS	03447687	2019-10-11	18.1	A	17.2	A	19.2	A	6.8	A	7.0	A	6.9	A	7.8	A	8.1	A	8.8	A
USGS	03447687	2019-10-12	18.0	A	17.3	A	18.9	A	6.8	A	7.0	A	6.9	A	7.7	A	8.1	A	8.7	A
USGS	03447687	2019-10-13	17.4	A	17.1	A	17.8	A	6.8	A	7.0	A	6.9	A	7.7	A	8.0	A	8.5	A
USGS	03447687	2019-10-14	16.8	A	15.9	A	17.7	A	6.8	A	7.0	A	6.8	A	7.8	A	8.2	A	8.8	A
USGS	03447687	2019-10-15	16.0	A	15.3	A	16.4	A	6.8	A	7.0	A	6.9	A	8.0	A	8.5	A	9.1	A
USGS	03447687	2019-10-16	16.3	A	15.5	A	17.4	A	6.8	A	7.1	A	6.9	A	8.1	A	8.4	A	9.1	A
USGS	03447687	2019-10-17	14.5	A	13.7	A	15.5	A	6.9	A	7.1	A	6.9	A	8.2	A	8.7	A	9.5	A
USGS	03447687	2019-10-18	13.4	A	12.4	A	14.4	A	6.9	A	7.1	A	6.9	A	8.6	A	9.2	A	10.0	A
USGS	03447687	2019-10-19	12.5	A	11.9	A	13.3	A	6.9	A	7.0	A	6.9	A	8.9	A	9.3	A	9.7	A
USGS	03447687	2019-10-20	12.7	A	11.9	A	13.6	A	6.6	A	7.0	A	6.7	A	8.7	A	8.9	A	9.2	A
USGS	03447687	2019-10-21	14.0	A	13.5	A	14.6	A	6.7	A	6.8	A	6.7	A	8.6	A	8.8	A	8.8	A
USGS	03447687	2019-10-22	15.6	A	14.6	A	16.5	A	6.7	A	6.9	A	6.8	A	7.9	A	8.3	A	8.6	A
USGS	03447687	2019-10-23	14.8	A	13.8	A	15.7	A	6.7	A	6.8	A	6.7	A	8.0	A	8.4	A	8.7	A
USGS	03447687	2019-10-24	13.2	A	12.4	A	13.9	A	6.8	A	6.8	A	6.8	A	8.7	A	9.1	A	9.3	A
USGS	03447687	2019-10-25	12.5	A	12.2	A	12.9	A	6.8	A	6.9	A	6.8	A	9.1	A	9.2	A	9.4	A
USGS	03447687	2019-10-26	13.2	A	12.8	A	13.9	A	6.8	A	6.8	A	6.8	A	8.7	A	9.0	A	9.1	A
USGS	03447687	2019-10-27	15.4	A	13.9	A	16.1	A	6.4	A	6.8	A	6.6	A	8.0	A	8.2	A	8.7	A
USGS	03447687	2019-10-28	15.6	A	15.3	A	16.0	A	6.4	A	6.5	A	6.5	A	8.1	A	8.2	A	8.3	A
USGS	03447687	2019-10-29	15.4	A	15.1	A	15.7	A	6.5	A	6.6	A	6.6	A	8.1	A	8.4	A	8.5	A
USGS	03447687	2019-10-30	15.5	A	15.3	A	15.8	A	6.6	A	6.8	A	6.7	A	8.0	A	8.3	A	8.4	A
USGS	03447687	2019-10-31	15.8	A	15.5	A	16.2	A	6.4	A	6.7	A	6.5	A	7.7	A	7.9	A	8.1	A
USGS	03447687	2019-11-01	13.8	A	12.9	A	15.5	A	6.3	A	6.4	A	6.4	A	7.5	A	7.6	A	7.7	A
USGS	03447687	2019-11-02	12.1	A	11.6	A	12.9	A	6.4	A	6.4	A	6.4	A	7.7	A	8.0	A	8.3	A
USGS	03447687	2019-11-03	11.0	A	10.6	A	11.6	A	6.3	A	6.5	A	6.4	A	8.2	A	8.6	A	9.3	A
USGS	03447687	2019-11-04	10.2	A	10.0	A	10.6	A	6.4	A	6.6	A	6.5	A	9.3	A	9.6	A	9.8	A
